weekDay,timeInHour,timeInMin,numOfpeople,numOfpeopleNextmin
1,10,51,47,50
1,10,52,50,51
1,10,53,51,54
1,10,54,54,53
1,10,55,53,50
1,10,56,50,45
1,10,57,45,51
1,10,58,51,53
1,10,59,53,53
1,11,0,53,56
1,11,1,56,61
1,11,2,61,63
1,11,3,63,63
1,11,4,63,55
1,11,5,55,63
1,11,6,63,52
1,11,7,52,50
1,11,8,50,55
1,11,9,55,51
1,11,10,51,58
1,11,11,58,59
1,11,12,59,58
1,11,13,58,58
1,11,14,58,60
1,11,15,60,64
1,11,16,64,59
1,11,17,59,57
1,11,18,57,62
1,11,19,62,68
1,11,20,68,61
1,11,21,61,64
1,11,22,64,69
1,11,23,69,68
1,11,24,68,70
1,11,25,70,78
1,11,26,78,70
1,11,27,70,73
1,11,28,73,77
1,11,29,77,77
1,11,30,77,54
1,11,31,54,47
1,11,32,47,52
1,11,33,52,47
1,11,34,47,47
1,11,35,47,49
1,11,36,49,35
1,11,37,35,43
1,11,38,43,44
1,11,39,44,35
1,11,40,35,44
1,11,41,44,35
1,11,42,35,39
1,11,43,39,31
1,11,44,31,34
1,11,45,34,38
1,11,46,38,33
1,11,47,33,31
1,11,48,31,27
1,11,49,27,25
1,11,50,25,28
1,11,51,28,33
1,11,52,33,26
1,11,53,26,33
1,11,54,33,26
1,11,55,26,31
1,11,56,31,26
1,11,57,26,28
1,11,58,28,25
1,11,59,25,25
1,12,0,25,24
1,12,1,24,28
1,12,2,28,29
1,12,3,29,31
1,12,4,31,30
1,12,5,30,31
1,12,6,31,22
1,12,7,22,22
1,12,8,22,26
1,12,9,26,20
1,12,10,20,26
1,12,11,26,29
1,12,12,29,26
1,12,13,26,30
1,12,14,30,25
1,12,15,25,27
1,12,16,27,23
1,12,17,23,31
1,12,18,31,30
1,12,19,30,23
1,12,20,23,23
1,12,21,23,25
1,12,22,25,29
1,12,23,29,23
1,12,24,23,29
1,12,25,29,28
1,12,26,28,34
1,12,27,34,31
1,12,28,31,31
1,12,29,31,30
1,12,30,30,22
1,12,31,22,26
1,12,32,26,26
1,12,33,26,25
1,12,34,25,24
1,12,35,24,25
1,12,36,25,31
1,12,37,31,22
1,12,38,22,29
1,12,39,29,25
1,12,40,25,29
1,12,41,29,30
1,12,42,30,28
1,12,43,28,26
1,12,44,26,28
1,12,45,28,23
1,12,46,23,29
1,12,47,29,28
1,12,48,28,23
1,12,49,23,32
1,12,50,32,29
1,12,51,29,25
1,12,52,25,32
1,12,53,32,24
1,12,54,24,28
1,12,55,28,25
1,12,56,25,29
1,12,57,29,28
1,12,58,28,26
1,12,59,26,30
1,13,0,30,30
1,13,1,30,24
1,13,2,24,23
1,13,3,23,31
1,13,4,31,28
1,13,5,28,29
1,13,6,29,23
1,13,7,23,21
1,13,8,21,24
1,13,9,24,21
1,13,10,21,29
1,13,11,29,20
1,13,12,20,25
1,13,13,25,29
1,13,14,29,28
1,13,15,28,31
1,13,16,31,28
1,13,17,28,25
1,13,18,25,30
1,13,19,30,28
1,13,20,28,24
1,13,21,24,22
1,13,22,22,21
1,13,23,21,22
1,13,24,22,28
1,13,25,28,34
1,13,26,34,33
1,13,27,33,25
1,13,28,25,31
1,13,29,31,33
1,13,30,33,29
1,13,31,29,20
1,13,32,20,20
1,13,33,20,22
1,13,34,22,25
1,13,35,25,23
1,13,36,23,29
1,13,37,29,25
1,13,38,25,26
1,13,39,26,24
1,13,40,24,27
1,13,41,27,26
1,13,42,26,27
1,13,43,27,29
1,13,44,29,23
1,13,45,23,26
1,13,46,26,23
1,13,47,23,27
1,13,48,27,28
1,13,49,28,24
1,13,50,24,23
1,13,51,23,30
1,13,52,30,28
1,13,53,28,24
1,13,54,24,29
1,13,55,29,30
1,13,56,30,24
1,13,57,24,26
1,13,58,26,30
1,13,59,30,31
1,14,0,31,26
1,14,1,26,33
1,14,2,33,29
1,14,3,29,30
1,14,4,30,31
1,14,5,31,34
1,14,6,34,33
1,14,7,33,30
1,14,8,30,32
1,14,9,32,33
1,14,10,33,31
1,14,11,31,30
1,14,12,30,28
1,14,13,28,28
1,14,14,28,28
1,14,15,28,26
1,14,16,26,21
1,14,17,21,29
1,14,18,29,28
1,14,19,28,29
1,14,20,29,25
1,14,21,25,31
1,14,22,31,26
1,14,23,26,23
1,14,24,23,26
1,14,25,26,32
1,14,26,32,29
1,14,27,29,30
1,14,28,30,33
1,14,29,33,27
1,14,30,27,33
1,14,31,33,38
1,14,32,38,32
1,14,33,32,39
1,14,34,39,32
1,14,35,32,30
1,14,36,30,38
1,14,37,38,40
1,14,38,40,43
1,14,39,43,39
1,14,40,39,42
1,14,41,42,37
1,14,42,37,34
1,14,43,34,31
1,14,44,31,29
1,14,45,29,31
1,14,46,31,32
1,14,47,32,29
1,14,48,29,24
1,14,49,24,29
1,14,50,29,32
1,14,51,32,28
1,14,52,28,30
1,14,53,30,29
1,14,54,29,32
1,14,55,32,31
1,14,56,31,31
1,14,57,31,29
1,14,58,29,27
1,14,59,27,26
1,15,0,26,33
1,15,1,33,34
1,15,2,34,32
1,15,3,32,31
1,15,4,31,34
1,15,5,34,32
1,15,6,32,33
1,15,7,33,41
1,15,8,41,37
1,15,9,37,35
1,15,10,35,38
1,15,11,38,39
1,15,12,39,34
1,15,13,34,28
1,15,14,28,29
1,15,15,29,34
1,15,16,34,32
1,15,17,32,30
1,15,18,30,34
1,15,19,34,35
1,15,20,35,38
1,15,21,38,39
1,15,22,39,42
1,15,23,42,39
1,15,24,39,39
1,15,25,39,37
1,15,26,37,43
1,15,27,43,38
1,15,28,38,40
1,15,29,40,44
1,15,30,44,41
1,15,31,41,48
1,15,32,48,43
1,15,33,43,44
1,15,34,44,40
1,15,35,40,49
1,15,36,49,37
1,15,37,37,37
1,15,38,37,39
1,15,39,39,35
1,15,40,35,32
1,15,41,32,39
1,15,42,39,31
1,15,43,31,32
1,15,44,32,36
1,15,45,36,34
1,15,46,34,37
1,15,47,37,35
1,15,48,35,38
1,15,49,38,38
1,15,50,38,36
1,15,51,36,40
1,15,52,40,42
1,15,53,42,34
1,15,54,34,36
1,15,55,36,37
1,15,56,37,42
1,15,57,42,44
1,15,58,44,43
1,15,59,43,43
1,16,0,43,44
1,16,1,44,45
1,16,2,45,40
1,16,3,40,49
1,16,4,49,47
1,16,5,47,44
1,16,6,44,48
1,16,7,48,46
1,16,8,46,48
1,16,9,48,52
1,16,10,52,48
1,16,11,48,50
1,16,12,50,39
1,16,13,39,43
1,16,14,43,41
1,16,15,41,35
1,16,16,35,42
1,16,17,42,38
1,16,18,38,36
1,16,19,36,35
1,16,20,35,39
1,16,21,39,37
1,16,22,37,42
1,16,23,42,37
1,16,24,37,49
1,16,25,49,49
1,16,26,49,46
1,16,27,46,40
1,16,28,40,49
1,16,29,49,45
1,16,30,45,54
1,16,31,54,49
1,16,32,49,53
1,16,33,53,53
1,16,34,53,54
1,16,35,54,48
1,16,36,48,55
1,16,37,55,59
1,16,38,59,63
1,16,39,63,56
1,16,40,56,55
1,16,41,55,61
1,16,42,61,65
1,16,43,65,66
1,16,44,66,70
1,16,45,70,71
1,16,46,71,71
1,16,47,71,72
1,16,48,72,65
1,16,49,65,57
1,16,50,57,58
1,16,51,58,61
1,16,52,61,61
1,16,53,61,60
1,16,54,60,50
1,16,55,50,54
1,16,56,54,52
1,16,57,52,45
1,16,58,45,45
1,16,59,45,50
1,17,0,50,45
1,17,1,45,41
1,17,2,41,41
1,17,3,41,41
1,17,4,41,47
1,17,5,47,49
1,17,6,49,39
1,17,7,39,42
1,17,8,42,41
1,17,9,41,44
1,17,10,44,44
1,17,11,44,35
1,17,12,35,35
1,17,13,35,30
1,17,14,30,35
1,17,15,35,34
1,17,16,34,33
1,17,17,33,34
1,17,18,34,30
1,17,19,30,29
1,17,20,29,28
1,17,21,28,32
1,17,22,32,30
1,17,23,30,23
1,17,24,23,22
1,17,25,22,22
1,17,26,22,26
1,17,27,26,24
1,17,28,24,29
1,17,29,29,25
1,17,30,25,29
1,17,31,29,26
1,17,32,26,27
1,17,33,27,24
1,17,34,24,25
1,17,35,25,20
1,17,36,20,33
1,17,37,33,38
1,17,38,38,31
1,17,39,31,38
1,17,40,38,32
1,17,41,32,30
1,17,42,30,43
1,17,43,43,41
1,17,44,41,39
1,17,45,39,37
1,17,46,37,39
1,17,47,39,36
1,17,48,36,47
1,17,49,47,40
1,17,50,40,43
1,17,51,43,42
1,17,52,42,46
1,17,53,46,46
1,17,54,46,50
1,17,55,50,59
1,17,56,59,53
1,17,57,53,56
1,17,58,56,54
1,17,59,54,54
1,18,0,54,62
1,18,1,62,58
1,18,2,58,57
1,18,3,57,59
1,18,4,59,56
1,18,5,56,64
1,18,6,64,67
1,18,7,67,67
1,18,8,67,66
1,18,9,66,64
1,18,10,64,66
1,18,11,66,60
1,18,12,60,67
1,18,13,67,70
1,18,14,70,68
1,18,15,68,72
1,18,16,72,73
1,18,17,73,68
1,18,18,68,76
1,18,19,76,75
1,18,20,75,81
1,18,21,81,84
1,18,22,84,80
1,18,23,80,82
1,18,24,82,82
1,18,25,82,88
1,18,26,88,87
1,18,27,87,88
1,18,28,88,81
1,18,29,81,84
1,18,30,84,85
1,18,31,85,87
1,18,32,87,84
1,18,33,84,85
1,18,34,85,84
1,18,35,84,78
1,18,36,78,75
1,18,37,75,70
1,18,38,70,71
1,18,39,71,71
1,18,40,71,72
1,18,41,72,72
1,18,42,72,61
1,18,43,61,61
1,18,44,61,63
1,18,45,63,64
1,18,46,64,55
1,18,47,55,60
1,18,48,60,49
1,18,49,49,47
1,18,50,47,48
1,18,51,48,53
1,18,52,53,49
1,18,53,49,49
1,18,54,49,41
1,18,55,41,43
1,18,56,43,39
1,18,57,39,35
1,18,58,35,43
1,18,59,43,42
1,19,0,42,32
1,19,1,32,31
1,19,2,31,38
1,19,3,38,38
1,19,4,38,35
1,19,5,35,34
1,19,6,34,30
1,19,7,30,30
1,19,8,30,30
1,19,9,30,35
1,19,10,35,32
1,19,11,32,28
1,19,12,28,31
1,19,13,31,34
1,19,14,34,32
1,19,15,32,36
1,19,16,36,30
1,19,17,30,30
1,19,18,30,29
1,19,19,29,25
1,19,20,25,26
1,19,21,26,25
1,19,22,25,31
1,19,23,31,26
1,19,24,26,30
1,19,25,30,26
1,19,26,26,25
1,19,27,25,23
1,19,28,23,29
1,19,29,29,31
1,19,30,31,30
1,19,31,30,31
1,19,32,31,25
1,19,33,25,22
1,19,34,22,29
1,19,35,29,28
1,19,36,28,27
1,19,37,27,28
1,19,38,28,26
1,19,39,26,23
1,19,40,23,20
1,19,41,20,27
1,19,42,27,25
1,19,43,25,22
1,19,44,22,25
1,19,45,25,25
1,19,46,25,20
1,19,47,20,23
1,19,48,23,22
1,19,49,22,17
1,19,50,17,22
1,19,51,22,26
1,19,52,26,25
1,19,53,25,23
1,19,54,23,22
1,19,55,22,23
1,19,56,23,19
1,19,57,19,24
1,19,58,24,22
1,19,59,22,19
2,9,0,0,8
2,9,1,8,3
2,9,2,3,0
2,9,3,0,4
2,9,4,4,4
2,9,5,4,6
2,9,6,6,7
2,9,7,7,6
2,9,8,6,1
2,9,9,1,6
2,9,10,6,9
2,9,11,9,4
2,9,12,4,13
2,9,13,13,5
2,9,14,5,10
2,9,15,10,11
2,9,16,11,9
2,9,17,9,11
2,9,18,11,12
2,9,19,12,11
2,9,20,11,12
2,9,21,12,13
2,9,22,13,9
2,9,23,9,5
2,9,24,5,6
2,9,25,6,14
2,9,26,14,13
2,9,27,13,7
2,9,28,7,7
2,9,29,7,8
2,9,30,8,13
2,9,31,13,5
2,9,32,5,10
2,9,33,10,8
2,9,34,8,7
2,9,35,7,13
2,9,36,13,12
2,9,37,12,12
2,9,38,12,10
2,9,39,10,19
2,9,40,19,12
2,9,41,12,12
2,9,42,12,22
2,9,43,22,19
2,9,44,19,18
2,9,45,18,22
2,9,46,22,15
2,9,47,15,22
2,9,48,22,9
2,9,49,9,13
2,9,50,13,16
2,9,51,16,13
2,9,52,13,10
2,9,53,10,15
2,9,54,15,5
2,9,55,5,5
2,9,56,5,12
2,9,57,12,5
2,9,58,5,9
2,9,59,9,7
2,10,0,0,22
2,10,1,22,22
2,10,2,22,25
2,10,3,25,27
2,10,4,27,22
2,10,5,22,25
2,10,6,25,33
2,10,7,33,26
2,10,8,26,27
2,10,9,27,28
2,10,10,28,33
2,10,11,33,33
2,10,12,33,42
2,10,13,42,36
2,10,14,36,38
2,10,15,38,44
2,10,16,44,39
2,10,17,39,42
2,10,18,42,44
2,10,19,44,40
2,10,20,40,36
2,10,21,36,37
2,10,22,37,39
2,10,23,39,43
2,10,24,43,28
2,10,25,28,31
2,10,26,31,25
2,10,27,25,26
2,10,28,26,31
2,10,29,31,31
2,10,30,31,33
2,10,31,33,26
2,10,32,26,27
2,10,33,27,25
2,10,34,25,26
2,10,35,26,26
2,10,36,26,27
2,10,37,27,25
2,10,38,25,24
2,10,39,24,29
2,10,40,29,23
2,10,41,23,20
2,10,42,20,26
2,10,43,26,34
2,10,44,34,29
2,10,45,29,30
2,10,46,30,28
2,10,47,28,33
2,10,48,33,41
2,10,49,41,42
2,10,50,42,44
2,10,51,44,44
2,10,52,44,39
2,10,53,39,38
2,10,54,38,43
2,10,55,43,41
2,10,56,41,42
2,10,57,42,38
2,10,58,38,39
2,10,59,39,35
2,11,0,35,46
2,11,1,46,53
2,11,2,53,50
2,11,3,50,49
2,11,4,49,47
2,11,5,47,49
2,11,6,49,48
2,11,7,48,40
2,11,8,40,48
2,11,9,48,40
2,11,10,40,45
2,11,11,45,44
2,11,12,44,54
2,11,13,54,48
2,11,14,48,51
2,11,15,51,47
2,11,16,47,50
2,11,17,50,46
2,11,18,46,52
2,11,19,52,59
2,11,20,59,50
2,11,21,50,59
2,11,22,59,57
2,11,23,57,51
2,11,24,51,66
2,11,25,66,60
2,11,26,60,66
2,11,27,66,69
2,11,28,69,64
2,11,29,64,64
2,11,30,64,42
2,11,31,42,39
2,11,32,39,37
2,11,33,37,41
2,11,34,41,40
2,11,35,40,39
2,11,36,39,26
2,11,37,26,30
2,11,38,30,33
2,11,39,33,27
2,11,40,27,27
2,11,41,27,26
2,11,42,26,26
2,11,43,26,26
2,11,44,26,24
2,11,45,24,24
2,11,46,24,22
2,11,47,22,28
2,11,48,28,17
2,11,49,17,20
2,11,50,20,22
2,11,51,22,24
2,11,52,24,15
2,11,53,15,16
2,11,54,16,18
2,11,55,18,20
2,11,56,20,17
2,11,57,17,18
2,11,58,18,16
2,11,59,16,20
2,12,0,20,21
2,12,1,21,20
2,12,2,20,16
2,12,3,16,17
2,12,4,17,21
2,12,5,21,14
2,12,6,14,14
2,12,7,14,14
2,12,8,14,10
2,12,9,10,19
2,12,10,19,18
2,12,11,18,15
2,12,12,15,21
2,12,13,21,20
2,12,14,20,17
2,12,15,17,14
2,12,16,14,21
2,12,17,21,12
2,12,18,12,11
2,12,19,11,17
2,12,20,17,18
2,12,21,18,11
2,12,22,11,11
2,12,23,11,12
2,12,24,12,21
2,12,25,21,21
2,12,26,21,17
2,12,27,17,17
2,12,28,17,16
2,12,29,16,22
2,12,30,22,10
2,12,31,10,10
2,12,32,10,13
2,12,33,13,18
2,12,34,18,15
2,12,35,15,11
2,12,36,11,17
2,12,37,17,14
2,12,38,14,12
2,12,39,12,21
2,12,40,21,18
2,12,41,18,12
2,12,42,12,20
2,12,43,20,18
2,12,44,18,19
2,12,45,19,17
2,12,46,17,12
2,12,47,12,11
2,12,48,11,20
2,12,49,20,18
2,12,50,18,13
2,12,51,13,20
2,12,52,20,21
2,12,53,21,20
2,12,54,20,16
2,12,55,16,23
2,12,56,23,18
2,12,57,18,15
2,12,58,15,16
2,12,59,16,22
2,13,0,22,21
2,13,1,21,14
2,13,2,14,13
2,13,3,13,18
2,13,4,18,17
2,13,5,17,18
2,13,6,18,19
2,13,7,19,16
2,13,8,16,10
2,13,9,10,11
2,13,10,11,12
2,13,11,12,19
2,13,12,19,16
2,13,13,16,21
2,13,14,21,17
2,13,15,17,13
2,13,16,13,14
2,13,17,14,13
2,13,18,13,18
2,13,19,18,14
2,13,20,14,11
2,13,21,11,17
2,13,22,17,17
2,13,23,17,15
2,13,24,15,19
2,13,25,19,18
2,13,26,18,17
2,13,27,17,18
2,13,28,18,15
2,13,29,15,20
2,13,30,20,14
2,13,31,14,13
2,13,32,13,12
2,13,33,12,18
2,13,34,18,13
2,13,35,13,17
2,13,36,17,15
2,13,37,15,18
2,13,38,18,13
2,13,39,13,15
2,13,40,15,20
2,13,41,20,16
2,13,42,16,12
2,13,43,12,11
2,13,44,11,17
2,13,45,17,18
2,13,46,18,13
2,13,47,13,17
2,13,48,17,14
2,13,49,14,18
2,13,50,18,21
2,13,51,21,15
2,13,52,15,20
2,13,53,20,13
2,13,54,13,16
2,13,55,16,21
2,13,56,21,21
2,13,57,21,16
2,13,58,16,22
2,13,59,22,17
2,14,0,17,15
2,14,1,15,17
2,14,2,17,23
2,14,3,23,15
2,14,4,15,24
2,14,5,24,16
2,14,6,16,17
2,14,7,17,19
2,14,8,19,23
2,14,9,23,23
2,14,10,23,25
2,14,11,25,20
2,14,12,20,18
2,14,13,18,18
2,14,14,18,17
2,14,15,17,12
2,14,16,12,11
2,14,17,11,16
2,14,18,16,21
2,14,19,21,20
2,14,20,20,13
2,14,21,13,19
2,14,22,19,18
2,14,23,18,21
2,14,24,21,17
2,14,25,17,20
2,14,26,20,17
2,14,27,17,20
2,14,28,20,18
2,14,29,18,18
2,14,30,18,25
2,14,31,25,20
2,14,32,20,20
2,14,33,20,29
2,14,34,29,20
2,14,35,20,28
2,14,36,28,28
2,14,37,28,32
2,14,38,32,34
2,14,39,34,30
2,14,40,30,25
2,14,41,25,26
2,14,42,26,23
2,14,43,23,19
2,14,44,19,20
2,14,45,20,26
2,14,46,26,20
2,14,47,20,20
2,14,48,20,17
2,14,49,17,14
2,14,50,14,20
2,14,51,20,18
2,14,52,18,16
2,14,53,16,17
2,14,54,17,15
2,14,55,15,17
2,14,56,17,16
2,14,57,16,20
2,14,58,20,20
2,14,59,20,15
2,15,0,15,28
2,15,1,28,22
2,15,2,22,27
2,15,3,27,29
2,15,4,29,21
2,15,5,21,26
2,15,6,26,28
2,15,7,28,24
2,15,8,24,27
2,15,9,27,30
2,15,10,30,28
2,15,11,28,27
2,15,12,27,19
2,15,13,19,21
2,15,14,21,27
2,15,15,27,21
2,15,16,21,22
2,15,17,22,27
2,15,18,27,28
2,15,19,28,29
2,15,20,29,32
2,15,21,32,24
2,15,22,24,26
2,15,23,26,28
2,15,24,28,34
2,15,25,34,28
2,15,26,28,25
2,15,27,25,31
2,15,28,31,30
2,15,29,30,32
2,15,30,32,36
2,15,31,36,34
2,15,32,34,36
2,15,33,36,37
2,15,34,37,33
2,15,35,33,33
2,15,36,33,24
2,15,37,24,24
2,15,38,24,27
2,15,39,27,23
2,15,40,23,24
2,15,41,24,28
2,15,42,28,21
2,15,43,21,26
2,15,44,26,22
2,15,45,22,20
2,15,46,20,24
2,15,47,24,20
2,15,48,20,28
2,15,49,28,32
2,15,50,32,32
2,15,51,32,26
2,15,52,26,29
2,15,53,29,24
2,15,54,24,28
2,15,55,28,31
2,15,56,31,34
2,15,57,34,30
2,15,58,30,30
2,15,59,30,25
2,16,0,25,37
2,16,1,37,36
2,16,2,36,34
2,16,3,34,33
2,16,4,33,39
2,16,5,39,37
2,16,6,37,37
2,16,7,37,36
2,16,8,36,41
2,16,9,41,37
2,16,10,37,38
2,16,11,38,41
2,16,12,41,31
2,16,13,31,31
2,16,14,31,29
2,16,15,29,32
2,16,16,32,26
2,16,17,26,25
2,16,18,25,27
2,16,19,27,24
2,16,20,24,32
2,16,21,32,32
2,16,22,32,28
2,16,23,28,32
2,16,24,32,34
2,16,25,34,35
2,16,26,35,35
2,16,27,35,39
2,16,28,39,37
2,16,29,37,39
2,16,30,39,43
2,16,31,43,42
2,16,32,42,42
2,16,33,42,43
2,16,34,43,39
2,16,35,39,36
2,16,36,36,50
2,16,37,50,46
2,16,38,46,53
2,16,39,53,50
2,16,40,50,49
2,16,41,49,51
2,16,42,51,54
2,16,43,54,54
2,16,44,54,57
2,16,45,57,53
2,16,46,53,60
2,16,47,60,56
2,16,48,56,49
2,16,49,49,48
2,16,50,48,56
2,16,51,56,50
2,16,52,50,49
2,16,53,49,47
2,16,54,47,43
2,16,55,43,40
2,16,56,40,37
2,16,57,37,40
2,16,58,40,35
2,16,59,35,39
2,17,0,39,36
2,17,1,36,36
2,17,2,36,34
2,17,3,34,31
2,17,4,31,39
2,17,5,39,37
2,17,6,37,31
2,17,7,31,31
2,17,8,31,32
2,17,9,32,26
2,17,10,26,29
2,17,11,29,26
2,17,12,26,26
2,17,13,26,23
2,17,14,23,27
2,17,15,27,25
2,17,16,25,28
2,17,17,28,27
2,17,18,27,21
2,17,19,21,20
2,17,20,20,15
2,17,21,15,18
2,17,22,18,21
2,17,23,21,17
2,17,24,17,10
2,17,25,10,14
2,17,26,14,12
2,17,27,12,18
2,17,28,18,15
2,17,29,15,14
2,17,30,14,15
2,17,31,15,14
2,17,32,14,13
2,17,33,13,14
2,17,34,14,11
2,17,35,11,13
2,17,36,13,23
2,17,37,23,23
2,17,38,23,20
2,17,39,20,20
2,17,40,20,24
2,17,41,24,24
2,17,42,24,25
2,17,43,25,30
2,17,44,30,30
2,17,45,30,30
2,17,46,30,30
2,17,47,30,27
2,17,48,27,37
2,17,49,37,31
2,17,50,31,36
2,17,51,36,30
2,17,52,30,28
2,17,53,28,29
2,17,54,29,43
2,17,55,43,40
2,17,56,40,42
2,17,57,42,47
2,17,58,47,41
2,17,59,41,43
2,18,0,43,47
2,18,1,47,46
2,18,2,46,48
2,18,3,48,54
2,18,4,54,52
2,18,5,52,47
2,18,6,47,57
2,18,7,57,50
2,18,8,50,56
2,18,9,56,53
2,18,10,53,53
2,18,11,53,56
2,18,12,56,62
2,18,13,62,59
2,18,14,59,62
2,18,15,62,62
2,18,16,62,64
2,18,17,64,56
2,18,18,56,71
2,18,19,71,72
2,18,20,72,68
2,18,21,68,71
2,18,22,71,70
2,18,23,70,71
2,18,24,71,73
2,18,25,73,70
2,18,26,70,76
2,18,27,76,77
2,18,28,77,77
2,18,29,77,77
2,18,30,77,75
2,18,31,75,70
2,18,32,70,74
2,18,33,74,68
2,18,34,68,76
2,18,35,76,69
2,18,36,69,57
2,18,37,57,58
2,18,38,58,64
2,18,39,64,62
2,18,40,62,57
2,18,41,57,57
2,18,42,57,53
2,18,43,53,48
2,18,44,48,48
2,18,45,48,49
2,18,46,49,54
2,18,47,54,45
2,18,48,45,45
2,18,49,45,37
2,18,50,37,36
2,18,51,36,38
2,18,52,38,38
2,18,53,38,38
2,18,54,38,32
2,18,55,32,28
2,18,56,28,33
2,18,57,33,29
2,18,58,29,33
2,18,59,33,29
2,19,0,29,20
2,19,1,20,23
2,19,2,23,24
2,19,3,24,29
2,19,4,29,22
2,19,5,22,20
2,19,6,20,19
2,19,7,19,22
2,19,8,22,24
2,19,9,24,19
2,19,10,19,19
2,19,11,19,22
2,19,12,22,24
2,19,13,24,28
2,19,14,28,24
2,19,15,24,20
2,19,16,20,24
2,19,17,24,21
2,19,18,21,23
2,19,19,23,21
2,19,20,21,15
2,19,21,15,21
2,19,22,21,22
2,19,23,22,17
2,19,24,17,18
2,19,25,18,19
2,19,26,19,14
2,19,27,14,22
2,19,28,22,21
2,19,29,21,18
2,19,30,18,19
2,19,31,19,18
2,19,32,18,15
2,19,33,15,13
2,19,34,13,12
2,19,35,12,20
2,19,36,20,18
2,19,37,18,19
2,19,38,19,16
2,19,39,16,15
2,19,40,15,12
2,19,41,12,15
2,19,42,15,16
2,19,43,16,16
2,19,44,16,14
2,19,45,14,11
2,19,46,11,9
2,19,47,9,12
2,19,48,12,7
2,19,49,7,11
2,19,50,11,10
2,19,51,10,16
2,19,52,16,12
2,19,53,12,11
2,19,54,11,7
2,19,55,7,14
2,19,56,14,8
2,19,57,8,14
2,19,58,14,12
2,19,59,12,13
3,9,0,0,4
3,9,1,4,9
3,9,2,9,1
3,9,3,1,5
3,9,4,5,9
3,9,5,9,4
3,9,6,4,6
3,9,7,6,8
3,9,8,8,2
3,9,9,2,0
3,9,10,0,6
3,9,11,6,8
3,9,12,8,11
3,9,13,11,14
3,9,14,14,8
3,9,15,8,13
3,9,16,13,5
3,9,17,5,14
3,9,18,14,13
3,9,19,13,14
3,9,20,14,13
3,9,21,13,11
3,9,22,11,5
3,9,23,5,10
3,9,24,10,12
3,9,25,12,8
3,9,26,8,9
3,9,27,9,8
3,9,28,8,7
3,9,29,7,7
3,9,30,7,8
3,9,31,8,8
3,9,32,8,8
3,9,33,8,9
3,9,34,9,8
3,9,35,8,13
3,9,36,13,17
3,9,37,17,11
3,9,38,11,14
3,9,39,14,13
3,9,40,13,14
3,9,41,14,17
3,9,42,17,15
3,9,43,15,22
3,9,44,22,24
3,9,45,24,24
3,9,46,24,17
3,9,47,17,19
3,9,48,19,10
3,9,49,10,10
3,9,50,10,17
3,9,51,17,12
3,9,52,12,9
3,9,53,9,17
3,9,54,17,11
3,9,55,11,13
3,9,56,13,5
3,9,57,5,5
3,9,58,5,13
3,9,59,13,13
3,10,0,0,23
3,10,1,23,22
3,10,2,22,16
3,10,3,16,19
3,10,4,19,22
3,10,5,22,18
3,10,6,18,28
3,10,7,28,29
3,10,8,29,25
3,10,9,25,28
3,10,10,28,29
3,10,11,29,30
